zcta5,total,nh_total,white,black,native,asian,hwpi,other,multi,hispanic,total_25yo,edu_gr9,edu_gr12_nd,edu_hs,edu_col_nd,edu_asc,edu_ba,edu_grad,edu_min_hs,edu_min_ba,inc_total,inc_10k,inc_15k,inc_25k,inc_35k,inc_50k,inc_75k,inc_100k,inc_150k,inc_200k,inc_200kplus,inc_mean,inc_avg,ins_total_pop,ins_total,ins_private,ins_public,no_ins_total,pov_families,pov_all,perc_sleep18,perc_sleep20,perc_sleep22,borough,neighborhood
11230,90245,79601,53293,7399,19,14362,48,1132,3348,10644,59193,5057,5145,12008,7145,4631,14036,11171,48991,25207,31897,5.9,7.8,8.9,8.4,10.0,15.2,11.3,14.8,7.4,10.4,65051,95988,90055,92.9,47.7,54.5,7.1,14.3,18.9,38.3,33.3,37.9,Brooklyn,Midwood
11231,38829,33017,23474,4369,66,2107,458,322,2221,5812,27887,1293,1457,3006,2018,856,10015,9242,25137,19257,16498,6.3,6.3,4.7,3.1,6.5,8.0,7.3,12.7,11.5,33.6,130396,204514,38819,95.3,74.9,25.9,4.7,12.5,13.9,36.9,32.2,36,Brooklyn,Carroll Gardens
11232,28137,13401,6363,1675,14,4345,14,79,911,14736,20295,3472,2821,3922,2210,1015,3860,2995,14002,6855,9589,3.0,3.6,5.4,10.1,12.0,13.8,13.0,12.9,9.1,17.0,79599,114279,26471,88.0,53.0,42.3,12.0,12.4,16.3,40.7,35,40.5,Brooklyn,Sunset Park
11233,83125,70064,9908,55482,416,1045,26,181,3006,13061,58249,3596,5071,18972,8757,3740,10665,7448,49582,18113,32516,11.0,6.4,9.2,7.5,10.6,13.4,12.3,14.3,6.9,8.4,57812,84738,82863,93.1,57.0,43.8,6.9,20.0,23.9,47.9,43.1,46.2,Brooklyn,Ocean Hill
11234,89976,81972,32017,38322,129,7307,0,765,3432,8004,63718,3796,3519,17611,9460,5198,13836,10298,56403,24134,32606,3.8,3.3,7.8,6.8,7.3,12.5,12.7,18.8,10.8,16.1,91379,120818,89898,95.7,67.4,40.2,4.3,8.2,9.4,40.3,35.8,40.5,Brooklyn,Marine Park
11235,83069,75512,56390,2007,14,12332,0,435,4334,7557,63558,3616,3009,13568,6563,5247,18012,13543,56933,31555,34769,6.7,7.2,9.4,8.7,10.4,13.9,10.8,13.5,7.7,11.5,61320,94910,82039,91.9,49.8,52.4,8.1,13.4,16.7,35.9,31.2,35.6,Brooklyn,Brighton Beach
11236,100082,90966,3761,79640,23,2474,9,652,4407,9116,69911,4647,3651,22175,12731,6828,13168,6711,61613,19879,33986,7.1,3.4,6.5,6.8,9.7,14.1,12.8,18.8,9.5,11.2,79885,102387,99403,94.0,58.3,43.8,6.0,9.9,12.3,46,41.5,46.4,Brooklyn,Canarsie
11237,47183,20936,11395,4045,149,3089,0,599,1659,26247,34954,4280,3994,7207,3969,1730,10308,3466,26680,13774,17513,6.7,3.0,9.4,5.2,9.1,14.8,14.9,17.0,10.0,10.0,79136,94875,47177,87.9,54.6,43.3,12.1,18.5,22.6,40.7,35.1,39,Brooklyn,Bushwick
11238,58047,49925,27508,14327,108,3830,0,287,3865,8122,45762,1093,2126,4770,3655,1887,17389,14842,42543,32231,26492,5.3,3.0,4.6,4.0,6.4,7.6,9.1,17.9,12.3,29.8,125747,173287,57634,96.4,78.5,24.8,3.6,7.2,10.9,39.7,34.9,37.5,Brooklyn,Prospect Heights
11239,16808,14134,2528,10378,19,444,0,202,563,2674,12188,980,667,4776,1621,1170,1792,1182,10541,2974,8367,7.4,13.9,17.9,6.6,12.6,14.4,9.1,10.4,4.9,2.9,38670,61506,16610,97.6,52.8,54.7,2.4,18.3,22.6,43.1,38.5,43.9,Brooklyn,East New York
11354,53371,46164,7633,1450,157,35514,258,312,840,7207,43024,5289,3999,12155,4441,4089,8389,4662,33736,13051,20980,9.2,5.7,9.4,11.7,8.8,14.5,10.7,15.8,8.4,5.8,56854,84204,51783,88.1,51.3,46.3,11.9,16.6,18.8,42,37.1,38.6,Queens,Flushing
11355,79495,66684,5601,1941,178,57690,49,465,760,12811,62791,10701,8533,17872,6170,5207,8921,5387,43557,14308,29690,8.8,5.2,10.6,11.3,10.8,18.3,11.2,12.4,4.9,6.4,52658,77413,79168,85.3,41.5,50.4,14.7,17.3,20.5,43.9,38.4,40,Queens,Flushing
11356,27632,16103,6490,126,0,9052,38,169,228,11529,19162,2829,1419,5813,2477,2128,2924,1572,14914,4496,8391,2.1,1.8,4.5,8.1,11.8,16.2,10.5,24.1,10.1,10.8,86717,103917,27626,91.4,58.2,43.9,8.6,6.6,9.5,39.9,35.2,37.5,Queens,College Point
11357,42792,36454,24006,145,72,11116,94,212,809,6338,31777,3221,1557,8080,4835,2410,6982,4692,26999,11674,15508,4.2,1.8,4.8,6.5,10.6,11.8,12.2,19.7,12.2,16.1,95987,126065,42497,96.6,69.7,41.6,3.4,5.2,7.2,35.2,31.6,33.6,Queens,Whitestone
11358,37647,31237,11610,267,54,18062,0,170,1074,6410,28351,2708,2149,7119,3603,2586,6111,4075,23494,10186,13179,4.5,2.3,5.8,6.0,11.3,15.7,13.0,16.9,11.6,13.0,84020,109224,37640,92.2,59.5,43.2,7.8,8.0,9.1,38.7,34.2,36.3,Queens,Auburndale
11360,19719,17679,10829,236,0,6077,0,249,288,2040,15729,1105,713,2773,2002,1044,3931,4161,13911,8092,8692,3.8,1.8,4.1,6.5,6.6,14.5,12.7,15.9,17.7,16.4,100016,134122,19668,95.2,73.1,42.3,4.8,5.2,6.5,33.4,29.8,31.1,Queens,Bayside
11361,29544,25181,11427,1099,56,11906,0,266,427,4363,22121,1559,1163,4081,3144,1838,5576,4760,19399,10336,10886,2.7,2.1,4.4,6.7,5.8,12.0,14.8,23.6,10.6,17.3,102343,127417,29278,94.6,70.8,36.2,5.4,5.5,8.2,37,32.8,34.5,Queens,Bayside
11362,18426,16726,6907,465,0,9010,0,83,261,1700,14748,601,617,2382,2037,1329,4561,3221,13530,7782,7164,3.0,1.2,2.9,3.7,9.1,11.7,11.5,20.9,19.2,16.8,113688,128688,18327,97.0,74.4,40.2,3.0,3.1,6.4,35.7,31.5,32.6,Queens,Little Neck
11363,7365,6450,3779,23,64,2276,0,25,283,915,5458,357,253,500,895,376,1568,1509,4848,3077,2855,4.5,0.2,4.0,5.2,6.9,13.5,12.9,17.9,14.3,20.5,112625,155429,7365,94.2,71.5,39.4,5.8,11.5,8.9,34.6,30.6,32.3,Queens,Little Neck
11364,38124,31859,11524,614,166,18512,0,98,945,6265,27737,2461,1197,5441,3159,2173,7845,5461,24079,13306,13822,4.1,1.6,5.7,5.9,6.8,12.3,13.5,21.6,12.0,16.7,100577,121275,38116,94.2,67.8,38.3,5.8,5.9,6.1,37.3,32.9,34.2,Queens,Oakland Gardens
11365,46424,36565,10303,5180,49,19985,0,176,872,9859,32872,3087,1548,7346,5284,3176,7608,4823,28237,12431,16361,7.2,1.7,6.8,5.8,10.1,15.1,12.6,18.8,10.4,11.4,82655,103325,46424,94.9,68.2,37.8,5.1,10.0,10.9,38.8,34.3,36.9,Queens,Fresh Meadows
11366,13659,11747,4626,665,0,5781,0,185,490,1912,9789,802,511,1673,1084,646,2997,2076,8476,5073,4640,3.7,1.5,2.6,5.0,6.5,12.2,13.7,23.9,16.3,14.7,114881,128237,13538,93.0,70.2,37.6,7.0,5.0,9.6,37.9,33.7,34.8,Queens,Fresh Meadows
11367,43286,35299,18456,3000,86,11826,0,544,1387,7987,28346,2704,1601,6487,2761,2265,7217,5311,24041,12528,14647,5.9,4.1,9.1,9.0,8.9,12.1,10.8,15.9,11.2,13.1,76888,101917,43278,94.3,58.9,45.3,5.7,12.2,13.3,38.2,34,36,Queens,Kew Gardens Hills
11368,112750,27221,5004,8372,143,12633,0,518,551,85529,75326,19519,7299,24105,9193,4926,7941,2343,48508,10284,30123,3.7,4.7,8.7,8.2,9.8,19.1,15.0,16.7,7.4,6.7,69391,85754,112353,76.6,38.9,50.3,23.4,13.7,17.3,42,37.4,40.5,Queens,Corona
11369,32177,13296,2463,5234,32,4779,6,83,699,18881,23134,2602,2255,7985,3357,1916,3334,1685,18277,5019,9736,4.7,4.5,5.0,7.5,10.3,20.6,11.5,21.0,8.2,6.8,72342,89135,31756,87.0,53.5,44.7,13.0,12.3,15.6,40.9,36.7,38.8,Queens,East Elmhurst
11370,28164,17464,7001,2992,113,6912,0,55,391,10700,21254,2512,2740,7251,2051,1413,3517,1770,16002,5287,8140,5.1,2.9,8.4,7.2,9.5,18.9,10.6,19.1,8.7,9.6,71618,99134,23714,92.5,59.0,44.2,7.5,9.2,10.4,41.9,36.8,37.8,Queens,East Elmhurst
11372,67001,31903,12277,1688,0,15327,66,378,2167,35098,50209,5897,3468,14064,5964,3672,9135,8009,40844,17144,25359,3.3,4.4,8.2,8.0,10.8,16.5,13.0,16.2,9.6,9.9,73089,100131,66747,89.0,48.2,49.8,11.0,11.2,14.4,38.7,34.5,37.1,Queens,Jackson Heights
11373,102618,59229,4932,1541,293,50304,42,371,1746,43389,72670,12481,5983,20013,6766,5313,16139,5975,54206,22114,32644,3.4,4.1,7.4,8.2,12.3,21.1,17.2,13.7,5.5,7.1,67489,85161,102269,84.5,36.6,54.1,15.5,8.5,10.8,41.4,36,38.3,Queens,Elmhurst
11374,47230,36779,17651,1642,35,14280,25,505,2641,10451,35610,1857,1535,6441,3877,3305,10961,7634,32218,18595,19800,5.4,4.0,6.8,6.8,8.7,12.3,12.2,19.6,12.5,11.7,86006,107971,47199,93.8,68.2,38.7,6.2,8.9,11.7,36.3,32.1,34.3,Queens,Rego Park
11375,75212,62852,35338,2012,69,21464,0,534,3435,12360,58743,2256,1324,7823,7154,3620,19355,17211,55163,36566,33312,5.3,1.9,6.2,3.6,6.9,13.8,11.0,20.1,10.1,21.2,103995,144354,74840,96.3,77.9,31.1,3.7,4.9,6.8,34.5,30.6,32.8,Queens,Forest Hills
11377,86977,52694,17338,1337,223,31779,0,501,1516,34283,65544,7808,4303,20607,6700,5122,14101,6903,53433,21004,33239,4.3,3.7,6.4,9.9,10.3,17.5,14.7,15.3,9.3,8.5,72273,98608,86753,92.5,49.8,50.4,7.5,7.8,10.1,39.9,35,37.3,Queens,Woodside
11378,39250,24801,18243,363,11,5292,0,364,528,14449,26947,2022,2000,8828,4611,2198,5064,2224,22925,7288,12818,4.0,2.6,5.6,6.0,10.3,15.3,10.8,19.9,12.8,12.7,90572,110310,39070,92.8,62.9,39.5,7.2,7.1,10.5,37.3,33.5,36.1,Queens,Maspeth
11379,38261,29831,23558,234,56,4688,0,723,572,8430,28619,2018,1996,7802,4604,1905,6225,4069,24605,10294,13810,4.0,2.7,6.4,6.0,8.6,15.1,11.2,18.7,12.6,14.8,89500,114711,37927,95.1,72.4,37.1,4.9,5.2,7.5,35.5,31.9,33.8,Queens,Middle Village
11385,105521,57801,45372,2530,26,7240,0,442,2191,47720,74477,6822,5000,21783,10227,6016,16635,7994,62655,24629,37167,4.5,2.4,5.3,5.7,9.7,15.9,15.7,19.4,11.8,9.6,85127,104776,105386,88.6,61.0,35.1,11.4,8.5,11.5,37.8,33.7,35.9,Queens,Ridgewood/Glendale
11411,21329,19904,426,18517,0,313,0,186,462,1425,16130,478,728,4409,3762,1515,2929,2309,14924,5238,6602,3.1,1.5,3.3,5.1,6.7,10.9,10.8,25.0,12.7,20.8,117018,130644,21319,95.5,73.5,37.1,4.5,3.3,5.2,43.8,40.5,42.6,Queens,Cambria Heights
11412,40593,37492,540,32418,138,1265,162,1362,1607,3101,28976,1153,1929,9307,6696,2590,4666,2635,25894,7301,11753,3.9,2.5,4.2,5.5,7.3,14.7,14.0,20.8,12.4,14.6,96094,116394,40585,93.8,64.8,37.1,6.2,7.0,9.4,45.6,42.4,44.7,Queens,St. Albans
11413,44832,41797,549,38399,42,733,0,1129,945,3035,31498,1066,1541,9794,7365,2713,5207,3812,28891,9019,13512,2.8,1.6,3.4,3.0,7.0,12.4,14.1,26.2,15.2,14.3,111065,125373,44593,94.0,69.9,35.3,6.0,3.4,6.0,45.1,41.9,43.9,Queens,Springfield Gardens
11414,30374,22868,19140,1107,0,1710,0,44,867,7506,22440,1461,1319,6568,4389,1705,4033,2965,19660,6998,11401,5.4,5.0,4.9,4.1,7.6,14.2,10.1,19.3,10.2,19.2,95370,129067,30356,96.8,77.0,35.8,3.2,4.1,6.2,35.5,32,34,Queens,Howard Beach
11415,20315,15654,8596,1359,34,4538,6,421,700,4661,15411,1044,770,2526,1955,1284,4265,3567,13597,7832,8588,3.2,4.6,7.2,4.3,7.1,15.5,11.7,20.0,10.2,16.2,88306,120616,20206,95.3,68.3,36.7,4.7,7.3,8.1,36.7,32.6,34.3,Queens,Kew Gardens
11416,27794,15265,3128,969,7,9448,0,597,1116,12529,18580,2409,1876,5424,2562,1552,3478,1279,14295,4757,7485,3.5,2.7,5.8,6.0,10.7,16.9,12.3,18.6,11.7,11.7,84085,121191,27781,90.2,53.9,44.3,9.8,10.8,13.0,41.4,36.7,39.2,Queens,Ozone Park
11417,31200,19214,5007,2216,39,8812,0,1593,1547,11986,21094,2503,1946,5767,3684,1694,3415,2085,16645,5500,9377,4.2,3.5,4.0,8.0,12.6,13.0,13.0,17.7,11.5,12.5,84419,104714,31200,92.1,59.1,40.7,7.9,9.3,10.9,40.4,36,38.7,Queens,Ozone Park
11418,38317,22399,7235,2866,251,8958,0,1032,2057,15918,26371,2959,2310,7593,4030,1584,4837,3058,21102,7895,11681,4.5,1.6,5.9,6.8,14.6,14.7,13.4,17.6,9.9,11.0,79101,100978,37874,90.8,58.1,43.6,9.2,8.2,11.9,40.6,36.1,38.5,Queens,Richmond Hill
11419,48096,39512,1746,6686,550,16375,45,10050,4060,8584,35168,5883,3413,11479,4964,2364,4783,2282,25872,7065,12908,4.0,2.2,6.1,7.0,8.4,11.4,15.6,22.2,12.1,11.1,90818,108546,48010,90.6,51.2,46.8,9.4,7.3,10.8,44.4,39.3,41.6,Queens,Richmond Hill
11420,51153,40275,2112,10901,954,17066,134,4012,5096,10878,37248,4779,3370,12064,6091,2961,5499,2484,29099,7983,13836,3.1,2.5,3.9,4.5,9.6,13.3,14.2,20.1,14.9,13.9,97919,116128,51124,90.1,59.5,38.6,9.9,8.2,10.1,43.9,39.4,41.6,Queens,South Ozone Park
11421,41552,17009,5548,1717,0,7447,0,1199,1098,24543,29130,3679,2465,8451,4333,2493,5407,2302,22986,7709,11840,3.9,2.0,4.8,5.7,10.3,17.6,15.4,16.5,11.4,12.2,81324,108437,41537,89.6,56.5,41.6,10.4,7.7,9.8,39.2,34.8,37.7,Queens,Woodhaven
11422,32296,29423,1884,25585,0,782,0,320,852,2873,23843,1082,1495,6576,5338,2226,4565,2561,21266,7126,10019,1.8,1.6,5.8,3.2,10.1,14.0,12.6,22.1,13.5,15.2,101416,119487,32201,94.0,68.2,37.6,6.0,6.4,8.4,44.9,41.6,43.3,Queens,Rosedale
11423,29921,25533,3155,9994,243,9153,5,1654,1329,4388,22020,1806,1516,5611,3491,1996,4976,2624,18698,7600,9946,7.5,2.0,5.3,4.9,12.9,15.9,13.0,15.1,12.4,11.0,79500,103394,29582,92.8,57.2,44.6,7.2,10.5,11.0,42.8,38.7,40.3,Queens,Hollis
11426,19733,16187,4543,1129,0,9243,0,468,804,3546,14645,822,894,3265,2281,1173,3938,2272,12929,6210,6108,1.4,1.0,4.4,3.4,5.2,10.2,19.7,20.1,19.6,15.1,112325,129673,19708,93.8,70.6,37.0,6.2,4.9,6.5,37.9,33.5,35.5,Queens,Bellerose
11427,25187,19907,3740,5422,29,8696,0,727,1293,5280,18763,1668,1466,4271,2866,1990,3893,2609,15629,6502,8046,4.8,3.0,4.5,6.8,8.2,15.7,12.8,19.6,11.2,13.5,84691,107138,24858,95.8,64.1,44.4,4.2,5.0,10.8,40.8,36.4,38.3,Queens,Queens Village
11428,19554,14434,1638,3919,26,6215,0,1686,950,5120,14561,1554,1056,4368,2225,1379,2710,1269,11951,3979,6153,3.2,3.6,4.6,6.5,10.2,16.2,9.9,21.2,11.2,13.5,89593,110985,19552,92.8,60.4,42.6,7.2,9.6,9.7,42.4,37.8,39.8,Queens,Queens Village
11429,27845,23663,834,18217,12,2059,0,1239,1302,4182,19662,1311,1636,6176,3730,1449,3354,2006,16715,5360,8038,3.9,7.3,2.6,8.2,5.0,10.7,13.6,20.2,12.3,16.2,95721,117648,27816,92.7,63.1,38.9,7.3,4.7,8.5,45,41.5,43.4,Queens,Queens Village
11432,64268,50755,7713,10788,454,27538,66,955,3241,13513,44701,5024,3501,9865,6414,3434,10572,5891,36176,16463,20036,4.3,3.6,6.4,8.1,10.4,19.0,11.6,18.4,8.5,9.7,72001,103895,63358,90.8,48.4,50.2,9.2,8.7,13.7,41.2,36.6,38.9,Queens,Jamaica
11433,38865,33472,1135,21493,640,5975,0,2872,1357,5393,25282,3027,2505,8550,4970,1839,3193,1198,19750,4391,10886,6.6,6.4,5.6,6.2,11.7,15.4,14.1,15.0,10.0,9.0,73118,91186,38825,91.9,49.8,49.4,8.1,9.7,14.0,46.5,43,44.5,Queens,Jamaica
11434,68182,60189,1362,53211,129,2039,0,1180,2268,7993,46920,2383,3708,14570,11820,4067,6732,3640,40829,10372,22986,7.8,3.8,3.8,8.2,10.3,18.4,11.5,18.4,8.4,9.4,71728,96344,67749,93.0,58.8,42.1,7.0,8.1,12.2,46,42.7,44.8,Queens,Jamaica
11435,59961,42420,8247,14567,240,13830,0,3788,1748,17541,41895,4841,3363,9175,7180,3349,8721,5266,33691,13987,19350,3.6,5.0,5.2,7.9,8.7,17.8,12.8,18.8,10.5,9.8,76915,100007,59679,91.4,49.0,49.0,8.6,10.8,13.4,42,37.7,40,Queens,Jamaica
11436,21349,18591,388,13086,137,1371,0,2018,1591,2758,14882,989,1274,5391,2855,1022,2224,1127,12619,3351,6136,5.4,1.9,5.2,6.6,8.9,14.0,15.5,19.9,10.2,12.5,87685,110683,21318,93.1,60.2,41.9,6.9,7.1,10.8,46.1,42.7,43.9,Queens,Jamaica
11691,70365,52241,16825,28934,0,2865,36,1011,2570,18124,43301,4760,3978,12355,7489,3851,6112,4756,34563,10868,21687,9.0,8.9,7.6,7.7,11.0,14.0,9.1,15.9,7.5,9.4,59153,92048,68445,90.4,48.5,51.6,9.6,15.4,18.9,42.8,39.2,41.8,Queens,Far Rockaway
11692,24584,18461,3231,13075,0,1129,0,232,794,6123,15490,1275,1200,4416,2644,1521,2505,1929,13015,4434,8128,8.7,5.8,9.4,12.2,8.4,12.3,11.3,14.2,8.3,9.4,57687,88642,23778,94.8,54.9,47.6,5.2,18.0,22.1,45.1,41.6,43.5,Queens,Arverne
11693,13558,10085,6200,2910,23,457,0,166,329,3473,9683,644,747,2704,1326,806,2156,1300,8292,3456,5274,9.1,3.9,6.2,11.0,10.6,9.8,13.4,17.8,7.2,11.0,72714,94702,13450,92.7,56.1,47.0,7.3,15.4,17.9,39.8,36.4,38.1,Queens,Far Rockaway
11694,21788,18001,15628,1552,18,482,0,36,285,3787,15723,735,906,3831,2615,826,3496,3314,14082,6810,7994,4.7,4.6,6.2,4.6,6.6,12.4,10.8,19.0,15.1,16.0,100190,124327,21145,96.6,71.4,36.1,3.4,8.2,12.4,35.2,32,33.8,Queens,Rockaway Park
11697,3946,3812,3698,9,0,44,0,0,61,134,2916,25,169,365,553,274,780,750,2722,1530,1533,1.9,0.6,5.0,2.9,5.0,11.1,11.2,17.5,14.4,30.5,134563,160188,3946,99.6,93.4,25.9,0.4,2.1,3.9,31.7,28.6,29.7,Queens,Breezy Point
